0	307	0.0271388	0.0215719
110	296	0.0399953	0.0343326
115	296	0.0399953	0.0343326
120	296	0.0399953	0.0343326
125	296	0.0399953	0.0343326
130	296	0.0399953	0.0343326
135	296	0.0399953	0.0343326
140	296	0.0399953	0.0343326
145	296	0.0399953	0.0343326
150	296	0.0399953	0.0343326
155	296	0.0399953	0.0343326
160	296	0.0399953	0.0343326
170	296	0.0399953	0.0343326
180	296	0.0399953	0.0343326
190	296	0.0399953	0.0343326
200	296	0.0399953	0.0343326
250	296	0.0399953	0.0343326
300	236	0.0278782	0.0113241
350	236	0.0278782	0.0113241
400	236	0.0278782	0.0113241
450	236	0.0278782	0.0113241
500	236	0.0278782	0.0113241
550	236	0.0278782	0.0113241
600	236	0.0278782	0.0113241
700	236	0.0278782	0.0113241
800	236	0.0278782	0.0113241
900	236	0.0278782	0.0113241
1000	236	0.0278782	0.0113241
