0	271	0.0348635	0.0219342
110	50	0.0353029	0.0734729
115	50	0.0353029	0.0734729
120	71	0.0305439	0.0635782
125	42	0.0746813	0.09876
130	29	0.116598	0.134054
135	31	0.130818	0.149537
140	33	0.135688	0.154833
145	42	0.126117	0.143884
150	36	0.228746	0.109166
155	40	0.214717	0.102838
160	10	0.273564	0.169661
170	9	0.333935	0.189546
180	13	0.12672	0.111862
190	34	0.137454	0.0957319
200	46	0.0228014	0.0240648
250	76	0.000689522	0.00259615
300	50	0.1	0.2
350	35	0.0236156	0.100447
400	21	0.1	0.2
450	8	0.1	0.2
500	7	0.1	0.2
550	6	0.1	0.2
600	6	0.1	0.2
700	6	0.1	0.2
800	5	0.1	0.2
900	4	0.1	0.2
1000	3	0.1	0.2
