0	740	0.114682	0.00998892
110	55	0.0815006	0.0114078
115	55	0.0815006	0.0114078
120	119	0.0998736	0.00892547
125	87	0.148691	0.0144765
130	68	0.185778	0.0226174
135	76	0.178461	0.0201462
140	79	0.162118	0.0204204
145	105	0.156391	0.0192903
150	111	0.0954547	0.0119831
155	125	0.0955991	0.0118077
160	37	0.20493	0.0433795
170	36	0.160968	0.0357788
180	54	0.146751	0.0312898
190	141	0.120691	0.0207565
200	202	0.0882409	0.0122042
250	302	0.0414591	0.00478836
300	206	0.040592	0.00646454
350	131	0.0480706	0.00885026
400	87	0.0484654	0.0137825
450	27	0.016224	0.0180494
500	17	0.1	0.2
550	12	0.1	0.2
600	4	0.1	0.2
700	4	0.1	0.2
800	3	0.1	0.2
900	3	0.1	0.2
1000	3	0.1	0.2
