0	1696	0.133862	0.0161168
110	198	0.242578	0.0608962
115	198	0.242578	0.0608962
120	369	0.236561	0.0592854
125	223	0.474521	0.0691115
130	173	0.65945	0.0809498
135	176	0.576754	0.0726736
140	173	0.521936	0.0578214
145	217	0.47747	0.0539341
150	171	0.176129	0.129926
155	183	0.166739	0.123064
160	54	0.27896	0.128192
170	45	0.129148	0.0749105
180	57	0.0434076	0.0436447
190	173	0.10941	0.0461156
200	281	0.0731769	0.0137922
250	571	0.0161037	0.00607054
300	347	0.0244929	0.0104033
350	202	0.022713	0.0207452
400	108	0.0117655	0.0292265
450	51	0.261505	0.32354
500	40	0.491345	0.660407
550	29	0.1	0.2
600	19	0.1	0.2
700	14	0.1	0.2
800	11	0.1	0.2
900	9	0.1	0.2
