110   2399	0.00149	0.00011	0.00007	0.00016
115   2399	0.00149	0.00011	0.00007	0.00016
120   2399	0.00306	0.00023	0.00014	0.00022
125   2399	0.00408	0.00031	0.00019	0.00025
130   2399	0.00510	0.00038	0.00023	0.00028
135   2399	0.00562	0.00042	0.00026	0.00030
140   2399	0.00576	0.00043	0.00027	0.00030
145   2399	0.00805	0.00060	0.00037	0.00035
150   2399	0.00686	0.00051	0.00032	0.00032
155   2399	0.00796	0.00060	0.00037	0.00035
160   2399	0.00676	0.00051	0.00031	0.00032
170   2399	0.00683	0.00051	0.00031	0.00032
180   2399	0.00903	0.00068	0.00042	0.00037
190   2399	0.01252	0.00094	0.00058	0.00043
200   2399	0.01247	0.00094	0.00057	0.00043
250   2399	0.00683	0.00051	0.00031	0.00031
300   2399	0.00564	0.00042	0.00026	0.00029
350   2399	0.00534	0.00040	0.00025	0.00028
400   2399	0.00471	0.00035	0.00022	0.00026
450   2399	0.00312	0.00023	0.00014	0.00021
500   2399	0.00267	0.00020	0.00012	0.00019
550   2399	0.00227	0.00017	0.00010	0.00018
600   2399	0.00193	0.00014	0.00009	0.00016
