110   2399	0.06601	0.00495	-0.00198	0.00134
115   2399	0.06601	0.00495	-0.00198	0.00134
120   2399	0.09870	0.00740	-0.00296	0.00168
125   2399	0.12304	0.00923	-0.00369	0.00191
130   2399	0.13778	0.01033	-0.00413	0.00204
135   2399	0.14381	0.01079	-0.00431	0.00209
140   2399	0.14048	0.01054	-0.00421	0.00207
145   2399	0.16702	0.01253	-0.00501	0.00229
150   2399	0.10821	0.00812	-0.00325	0.00178
155   2399	0.11361	0.00852	-0.00341	0.00183
160   2399	0.07510	0.00563	-0.00225	0.00145
170   2399	0.05878	0.00441	-0.00176	0.00127
180   2399	0.06744	0.00506	-0.00202	0.00137
190   2399	0.10796	0.00810	-0.00324	0.00178
200   2399	0.12292	0.00922	-0.00369	0.00192
250   2399	0.13076	0.00981	-0.00392	0.00199
300   2399	0.11387	0.00854	-0.00342	0.00184
350   2399	0.10032	0.00752	-0.00301	0.00171
400   2399	0.08357	0.00627	-0.00251	0.00154
450   2399	0.05224	0.00392	-0.00157	0.00119
500   2399	0.04160	0.00312	-0.00125	0.00105
550   2399	0.03349	0.00251	-0.00100	0.00094
600   2399	0.02625	0.00197	-0.00079	0.00083
