110   1020	0.01125	0.00153	-0.00023	0.00083
115   1020	0.01125	0.00153	-0.00023	0.00083
120   1020	0.01702	0.00232	-0.00034	0.00102
125   1020	0.02120	0.00295	-0.00042	0.00113
130   1020	0.02414	0.00341	-0.00048	0.00121
135   1020	0.02775	0.00392	-0.00056	0.00136
140   1020	0.02851	0.00405	-0.00057	0.00142
145   1020	0.04072	0.00579	-0.00081	0.00176
150   1020	0.02615	0.00402	-0.00052	0.00134
155   1020	0.02906	0.00447	-0.00058	0.00143
160   1020	0.02417	0.00434	-0.00048	0.00133
170   1020	0.02114	0.00390	-0.00042	0.00125
180   1020	0.02709	0.00468	-0.00054	0.00144
190   1020	0.04766	0.00751	-0.00095	0.00191
200   1020	0.05685	0.00880	-0.00114	0.00205
250   1020	0.09095	0.01330	-0.00182	0.00242
300   1020	0.09921	0.01426	-0.00198	0.00246
350   1020	0.08670	0.01293	-0.00173	0.00219
400   1020	0.07082	0.01109	-0.00142	0.00192
450   1020	0.04509	0.00783	-0.00090	0.00152
500   1020	0.03764	0.00712	-0.00075	0.00141
550   1020	0.02902	0.00601	-0.00058	0.00121
600   1020	0.02220	0.00509	-0.00044	0.00106
